      C01      C02      C03      C04      C05      C06      C07      C08      C09      C10      C11      C12      C13      C14      C31      C32      C33      C34                                                                                                                                                                                                                                              
  45.9838  41.5150  55.9248  30.3344  20.8753        0  65.6422  75.9764        0  82.7083        0        0  55.6691        0  72.9244  71.7830        0        0                                                                                                                                                                                                                                              
  45.9818  41.5182  55.9254  30.3340  20.8782        0  65.5562  75.9040        0  82.6541        0        0  55.6859        0  73.0104  71.6588        0        0                                                                                                                                                                                                                                              
  45.9799  41.5214  55.9260  30.3335  20.8812        0  65.4700  75.8314        0  82.5984        0        0  55.7025        0  73.0965  71.5345        0        0                                                                                                                                                                                                                                              
  45.9779  41.5246  55.9266  30.3331  20.8842        0  65.3834  75.7587        0  82.5412        0        0  55.7187        0  73.1828  71.4101        0        0                                                                                                                                                                                                                                              
  45.9759  41.5278  55.9271  30.3327  20.8871        0  65.2966  75.6857        0  82.4826        0        0  55.7346        0  73.2692  71.2855        0        0                                                                                                                                                                                                                                              
  45.9739  41.5309  55.9277  30.3322  20.8901        0  65.2094  75.6126        0  82.4225        0        0  55.7501        0  73.3558  71.1609        0        0                                                                                                                                                                                                                                              
  45.9719  41.5341  55.9282  30.3318  20.8931        0  65.1219  75.5393        0  82.3610        0        0  55.7654        0  73.4425  71.0361        0        0                                                                                                                                                                                                                                              
  45.9699  41.5373  55.9288  30.3314  20.8961        0  65.0342  75.4659        0  82.2982        0        0  55.7804        0  73.5294  70.9112        0        0                                                                                                                                                                                                                                              
  45.9679  41.5405  55.9293  30.3309  20.8990        0  64.9461  75.3923        0  82.2340        0        0  55.7951        0  73.6163  70.7862        0        0                                                                                                                                                                                                                                              
  45.9659  41.5437  55.9298  30.3305  20.9020        0  64.8577  75.3186        0  82.1686        0        0  55.8094        0  73.7034  70.6611        0        0                                                                                                                                                                                                                                              
  45.9639  41.5469  55.9303  30.3300  20.9049        0  64.7690  75.2447        0  82.1018        0        0  55.8235        0  73.7907  70.5359        0        0                                                                                                                                                                                                                                              
  45.9618  41.5501  55.9309  30.3296  20.9079        0  64.6801  75.1708        0  82.0338        0        0  55.8372        0  73.8781  70.4106        0        0                                                                                                                                                                                                                                              
  45.9598  41.5532  55.9314  30.3291  20.9109        0  64.5908  75.0967        0  81.9645        0        0  55.8507        0  73.9656  70.2852        0        0                                                                                                                                                                                                                                              
  45.9578  41.5564  55.9319  30.3286  20.9138        0  64.5013  75.0224        0  81.8941        0        0  55.8638        0  74.0532  70.1596        0        0                                                                                                                                                                                                                                              
  45.9558  41.5596  55.9323  30.3282  20.9168        0  64.4114  74.9481        0  81.8224        0        0  55.8767        0  74.1409  70.0340        0        0                                                                                                                                                                                                                                              
  45.9537  41.5628  55.9328  30.3277  20.9198        0  64.3213  74.8737        0  81.7497        0        0  55.8892        0  74.2288  69.9083        0        0                                                                                                                                                                                                                                              
  45.9517  41.5660  55.9333  30.3273  20.9227        0  64.2309  74.7992        0  81.6758        0        0  55.9015        0  74.3168  69.7825        0        0                                                                                                                                                                                                                                              
  45.9496  41.5692  55.9338  30.3268  20.9257        0  64.1402  74.7245        0  81.6008        0        0  55.9134        0  74.4049  69.6566        0        0                                                                                                                                                                                                                                              
  45.9476  41.5723  55.9342  30.3263  20.9287        0  64.0493  74.6498        0  81.5247        0        0  55.9251        0  74.4931  69.5305        0        0                                                                                                                                                                                                                                              
  45.9455  41.5755  55.9347  30.3258  20.9316        0  63.9581  74.5750        0  81.4476        0        0  55.9365        0  74.5815  69.4044        0        0                                                                                                                                                                                                                                              
  45.9435  41.5787  55.9351  30.3254  20.9346        0  63.8666  74.5002        0  81.3695        0        0  55.9475        0  74.6700  69.2782        0        0                                                                                                                                                                                                                                              
  45.9414  41.5819  55.9356  30.3249  20.9376        0  63.7748  74.4252        0  81.2903        0        0  55.9583        0  74.7585  69.1520        0        0                                                                                                                                                                                                                                              
  45.9393  41.5851  55.9360  30.3244  20.9405        0  63.6828  74.3502        0  81.2102        0        0  55.9688        0  74.8472  69.0256        0        0                                                                                                                                                                                                                                              
  45.9373  41.5882  55.9364  30.3239  20.9435        0  63.5905  74.2752        0  81.1291        0        0  55.9790        0  74.9360  68.8991        0        0                                                                                                                                                                                                                                              
  45.9352  41.5914  55.9368  30.3234  20.9464        0  63.4979  74.2000        0  81.0471        0        0  55.9889        0  75.0249  68.7726        0        0                                                                                                                                                                                                                                              
  45.9331  41.5946  55.9372  30.3229  20.9494        0  63.4051  74.1249        0  80.9642        0        0  55.9985        0  75.1139  68.6459        0        0                                                                                                                                                                                                                                              
  45.9310  41.5978  55.9376  30.3224  20.9524        0  63.3120  74.0496        0  80.8804        0        0  56.0079        0  75.2030  68.5192        0        0                                                                                                                                                                                                                                              
  45.9289  41.6010  55.9380  30.3219  20.9553        0  63.2187  73.9744        0  80.7957        0        0  56.0169        0  75.2923  68.3924        0        0                                                                                                                                                                                                                                              
